metric,value
ROC_AUC,1.0
PR_AUC,1.0
Precision,1.0
Recall,0.03098927294398093
F1_score,0.06011560693641618
Recall@50,0.05959475566150179
Recall@100,0.11918951132300358
Recall@200,0.23837902264600716
